Contestant,Garrick Ohlsson,John Allison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała
Ziye Tao,14,17,19,21,21,NA,18,16,17,20,21,21,18,21,18,16,15
Chun Lam U,9,14,18,16,17,NA,16,17,16,15,17,16,16,19,16,15,12
Tomoharu Ushida,19,16,20,19,22,21,24,24,20,19,22,24,NA,22,23,19,18
Ryan Wang,17,19,19,17,21,16,18,18,15,17,17,15,16,15,17,18,16
Zitong Wang,22,21,21,17,22,NA,22,17,16,23,23,21,19,23,22,22,22
Jan Widlarz,19,16,20,17,20,17,17,17,16,19,20,18,21,21,NA,18,20
Andrzej Wierciński,17,18,21,24,20,18,21,16,16,15,21,20,21,17,19,21,NA
Krzysztof Wierciński,18,12,19,17,22,19,21,17,16,20,19,18,22,17,18,18,18
Victoria Wong,18,18,20,17,22,17,18,17,15,NA,18,19,20,20,18,19,17
Maiqi Wu,20,15,19,19,21,19,17,18,19,19,18,17,19,NA,21,17,20
Yifan Wu,20,20,19,24,23,20,23,24,19,20,24,20,21,22,21,22,23
Miki Yamagata,20,13,18,22,21,17,22,20,19,23,23,22,19,17,18,18,19
Ryota Yamazaki,19,13,20,16,21,17,21,20,16,16,21,16,18,16,17,16,15
Fanze Yang,19,10,20,18,21,21,22,20,16,19,18,23,19,21,19,16,16
William Yang,19,21,18,17,20,22,24,22,21,20,18,NA,18,21,20,23,20
Yuanfan Yang,17,22,20,18,20,17,17,19,20,17,18,16,20,17,19,16,20
Yichen Yu,17,22,18,17,21,16,17,20,22,22,20,16,21,18,21,16,16
Yuewen Yu,23,17,20,16,21,16,17,15,16,16,19,19,19,21,24,23,16
Andrey Zenin,21,22,21,19,22,15,19,14,12,15,18,18,21,15,19,16,15
Jacky Zhang,15,17,21,25,24,17,23,20,16,19,20,24,23,24,20,20,22
Yonghuan Zhong,16,20,18,15,21,18,17,16,16,16,21,16,21,15,17,16,NA
Hanyuan Zhu,15,16,18,15,22,NA,24,17,16,23,22,20,18,21,21,16,16
Jingting Zhu,15,18,19,17,20,16,17,18,21,18,20,NA,19,20,20,19,16
Piotr Alexewicz,15,22,21,19,21,21,24,24,18,18,24,20,23,22,19,24,20
Jonas Aumiller,15,23,20,18,23,22,21,21,19,17,23,22,22,22,20,20,17
Yanyan Bao,22,13,22,19,23,22,21,16,16,21,18,23,23,22,19,17,23
Michał Basista,22,15,21,17,21,17,17,17,15,18,18,19,18,16,18,16,20
Kai-Min Chang,22,17,20,18,23,NA,19,17,17,21,20,19,17,21,24,19,21
Kevin Chen,20,23,22,25,24,18,25,23,24,24,24,24,22,22,21,22,25
Xuehong Chen,19,18,21,19,21,17,21,22,19,24,19,23,23,20,21,19,21
Zixi Chen,23,18,23,18,21,18,20,21,17,20,21,19,20,21,23,22,19
Hoi Leong Cheong,22,13,19,17,22,20,22,17,17,22,18,NA,19,22,22,18,17
Diana Cooper,22,17,20,19,20,22,21,15,16,18,19,16,19,16,19,20,19
Athena Deng,23,13,20,17,19,NA,23,16,16,17,17,18,18,17,18,18,17
Yubo Deng,19,18,20,18,22,NA,17,23,16,19,19,20,22,22,23,21,15
Mateusz Dubiel,17,20,20,21,21,18,17,21,15,19,19,16,21,20,20,18,21
Yu-Ang Fan,12,15,19,19,22,21,16,16,15,21,18,24,19,17,19,15,15
Alberto Ferro,17,15,21,22,21,17,18,22,18,15,23,19,18,17,20,19,20
Yang (Jack) Gao,24,17,20,21,21,21,23,23,15,20,19,23,18,19,24,22,16
Shuguang Gong,18,13,19,17,21,18,21,18,19,NA,19,21,18,16,23,19,21
Eric Guo,18,22,24,24,22,22,22,25,18,22,25,22,24,23,23,25,23
Wei-Ting Hsieh,14,21,24,21,21,17,22,17,14,19,21,18,17,15,19,21,20
Xiaoyu Hu,24,13,25,17,21,24,23,16,15,20,19,16,19,24,24,18,16
Hasan Ignatov,18,16,22,16,22,17,21,21,15,16,19,16,18,20,19,20,19
Zihan Jin,22,21,23,20,21,20,20,21,21,23,19,22,18,21,18,19,20
Adam Kałduński,22,15,24,23,23,21,25,21,15,21,23,20,23,16,NA,23,21
David Khrikuli,18,21,23,23,23,24,22,19,15,19,23,19,18,15,20,23,20
Antoni Kłeczek,20,14,18,16,21,16,18,20,20,15,19,19,NA,NA,18,13,16
Kaito Kobayashi,21,20,20,21,21,18,20,19,12,16,22,22,18,20,17,16,16
Mateusz Krzyżowski,22,13,22,19,22,23,22,18,15,17,17,16,23,18,20,16,19
Shiori Kuwahara,22,16,25,24,24,22,23,25,16,21,23,20,22,24,23,18,21
Shushi Kyomasu,24,15,19,19,20,17,19,19,21,19,21,18,18,20,23,17,20
Hyo Lee,23,20,21,24,21,17,24,20,20,19,21,23,23,NA,19,22,20
Hyuk Lee,20,21,20,25,21,16,22,19,22,22,22,21,22,NA,20,23,21
Kwanwook Lee,19,18,21,23,21,21,22,18,23,21,19,19,18,21,18,19,17
Luwangzi Li,19,17,19,21,24,15,20,17,19,22,18,23,19,17,22,16,17
Tianyou Li,21,18,20,20,24,17,21,18,18,22,20,18,18,22,22,20,17
Xiaoxuan Li,15,19,20,17,24,21,23,22,17,23,20,NA,23,24,19,24,20
Zhexiang Li,19,19,21,17,20,23,23,15,19,21,21,21,24,19,16,18,21
Hao-Wei Lin,10,10,19,22,21,17,19,14,17,18,19,16,17,19,17,18,15
Pedro Lopez Salas,8,9,22,16,20,14,16,12,16,19,18,16,17,16,15,13,12
Eric Lu,22,19,23,24,23,NA,22,21,17,21,24,NA,24,22,18,22,23
Philipp Lynov,20,20,23,20,23,20,23,23,20,21,24,19,22,22,19,19,19
Tianyao Lyu,20,16,23,22,22,23,23,19,24,23,22,23,24,24,NA,19,23
Tiankun Ma,19,18,24,25,22,19,18,20,17,20,23,20,18,18,19,16,18
Xuanyi Mao,23,20,24,24,20,17,21,18,18,18,17,18,20,15,15,15,16
Ruben Micieli,23,17,22,21,24,23,23,19,19,20,19,21,21,15,21,21,19
Nathalia Milstein,24,21,22,22,23,18,24,25,16,17,23,21,19,19,21,24,20
Yumeka Nakagawa,17,16,21,22,23,17,23,17,17,19,22,24,20,22,21,18,18
Yulia Nakashima,17,18,20,17,20,17,19,16,16,15,20,19,18,14,18,16,18
Viet Trung Nguyen,17,20,22,18,21,NA,18,14,20,NA,21,22,19,20,NA,20,17
Yuya Nishimoto,18,16,21,20,21,16,19,13,20,16,24,20,22,16,18,21,NA
Vincent Ong,21,11,22,19,24,24,23,24,24,25,24,24,18,23,22,17,21
Arisa Onoda,17,14,18,17,21,NA,20,13,14,20,19,19,18,18,16,19,17
Piotr Pawlak,24,24,25,22,21,17,24,19,12,15,20,23,23,19,19,24,19
Yehuda Prokopowicz,24,20,23,23,24,17,21,19,15,19,20,19,23,20,22,22,19
Hao Rao,17,15,24,23,21,18,21,25,19,21,20,20,25,23,24,19,24
Anthony Ratinov,23,18,23,21,22,16,23,18,19,18,23,NA,22,24,23,20,22
Zuzanna Sejbuk,18,17,19,16,20,16,17,15,15,17,20,22,21,17,19,14,19
Jun Shimada,19,17,21,22,21,19,22,18,16,19,20,22,18,18,20,17,18
Miyu Shindo,20,18,21,24,23,23,24,20,18,24,22,22,23,22,22,22,23
Mana Shoji,18,16,20,16,21,18,19,16,16,22,21,22,18,18,NA,22,20
Gabriele Strata,16,20,22,15,19,24,22,19,14,20,19,20,18,22,21,23,20
Eva Strejcova,17,21,20,15,21,16,24,16,13,16,20,16,20,15,22,19,18
